area	vertices	type	avg_x	avg_y
203.1	7	0	304.014	143.598
32.91	6	0	391.607	137.211
106.7	7	0	117.445	142.729
115.6	6	0	358.261	142.399
103.1	5	0	383.758	140.977
383.4	5	0	209.27	146.994
198.3	6	0	133.874	141.981
30.31	6	0	464.723	139.341
108.0	6	1	498.173	151.067
100.9	6	0	341.293	142.843
83.35	5	0	470.691	142.327
288.6	8	0	152.63	147.273
34.21	4	0	268.885	142.623
11.91	5	0	352.636	139.525
40.92	5	0	403.056	141.286
342.9	9	0	166.689	151.589
11.91	4	0	398.755	139.367
243.4	8	0	374.243	149.201
35.72	5	0	389.056	143.39
64.3	6	0	394.399	144.649
4.114	4	1	0.724	141.413
54.13	4	0	56.864	143.694
4.114	4	0	3.526	141.983
109.3	6	0	8.238	147.654
241.2	9	0	408.583	149.39
89.63	6	0	96.929	147.04
25.11	6	1	1.306	146.829
96.13	6	0	239.216	148.41
23.17	6	0	350.879	144.885
67.77	5	0	364.478	150.402
52.18	5	0	229.711	148.279
55.21	5	0	275.236	147.62
67.55	4	0	457.089	147.759
2.165	3	0	489.95	144.107
1.299	3	0	140.5	145.059
203.9	6	0	19.905	154.781
163.7	9	0	465.181	152.693
330.8	7	0	131.083	153.973
557.1	11	0	254.974	162.528
80.11	5	0	313.241	155.243
11.69	4	0	354.213	148.219
69.5	5	0	84.051	152.013
71.45	7	0	110.154	151.228
45.9	7	0	281.267	151.122
928.2	11	0	355.778	170.393
252.4	6	0	94.475	157.529
64.95	5	0	265.335	154.046
88.55	5	0	272.877	154.175
24.9	3	0	286.957	150.327
9.959	4	0	115.544	149.484
313.3	6	0	380.698	166.622
112.2	7	0	395.187	153.838
469.4	7	0	212.936	163.406
17.1	4	0	79.62	154.273
564.9	12	0	234.674	169.619
152.2	6	0	446.603	153.95
29.66	5	0	431.438	152.345
283.8	8	0	291.629	159.905
30.53	6	0	4.803	154.014
8.66	4	0	426.731	152.345
19.92	4	1	1.253	155.428
145.5	7	0	418.861	160.624
43.08	4	0	494.533	157.399
176.0	5	0	305.771	159.69
31.61	5	0	471.563	155.372
95.91	5	0	106.151	159.407
12.34	3	0	475.943	154.57
2.598	4	0	154.396	153.972
113.9	6	0	117.969	160.187
794.4	14	0	435.829	174.14
125.8	6	0	8.442	163.035
242.9	7	0	391.542	167.111
92.23	5	0	405.307	160.352
359.6	11	0	477.827	166.872
72.96	5	0	487.527	158.912
307.2	9	0	137.156	166.035
266.5	7	0	278.814	167.257
131.2	4	0	371.217	163.374
234.9	8	0	444.402	163.181
330.0	9	0	90.536	169.901
157.6	4	0	169.827	163.989
22.52	4	0	457.719	160.019
28.8	5	1	2.342	161.068
1.299	5	0	152.875	158.266
24.47	5	0	412.505	160.506
186.6	8	0	53.202	165.336
1.732	3	0	468.031	159.511
40.27	5	0	155.269	163.269
523.7	9	0	187.565	171.989
236.0	11	0	462.726	170.408
469.6	8	0	327.381	176.541
256.6	7	0	20.537	168.141
142.9	6	0	115.985	168.691
263.5	5	0	340.257	172.835
9.743	4	0	433.611	164.275
294.9	8	1	493.524	181.354
365.0	7	0	68.881	173.355
153.9	5	0	314.529	173.565
161.7	6	0	32.861	171.038
23.17	6	0	160.526	165.965
51.96	6	0	152.127	167.602
93.75	7	0	405.889	168.04
1.299	4	0	348.958	164.473
46.33	5	1	497.502	169.442
34.21	4	1	1.701	169.344
6.712	4	0	447.266	165.537
86.82	6	0	222.004	170.958
30.74	5	0	106.083	168.488
163.7	5	0	302.212	172.349
121.0	5	0	41.291	174.132
0.433	3	0	447.75	168.009
38.32	6	0	412.531	171.639
310.7	11	0	156.685	180.58
14.94	4	0	398.098	171.517
96.78	5	0	167.864	174.333
84.65	5	0	274.402	175.973
64.3	6	1	4.163	175.827
141.2	8	0	109.209	177.837
389.3	7	0	138.825	184.452
32.91	4	0	147.747	174.168
1.299	3	0	247.333	171.04
280.4	8	0	54.038	182.427
139.6	5	0	250.535	178.223
173.4	6	0	123.378	179.674
282.1	7	0	209.396	181.056
233.4	7	0	294.384	182.048
90.07	6	0	404.28	177.872
45.47	5	0	410.507	177.395
225.4	7	0	482.176	181.61
37.02	4	0	72.06	176.555
73.4	6	0	10.072	179.193
31.61	5	0	396.748	176.69
3.031	4	0	34.589	175.587
129.7	6	0	172.628	182.037
129.3	6	0	271.008	182.959
47.85	5	0	415.889	179.33
168.9	8	0	314.25	185.912
172.6	8	0	21.043	182.987
258.1	6	0	80.192	185.408
155.2	6	0	260.49	184.48
1.516	4	0	225.071	177.04
134.2	7	0	97.245	182.641
2.165	4	0	224.1	177.968
29.88	5	0	284.112	179.512
502.3	7	0	376.315	190.741
3.031	5	0	470.946	178.742
806.1	11	0	37.044	197.755
989.9	9	0	399.043	200.838
1.949	4	0	224.389	179.845
12.99	4	0	471.233	181.1
47.41	6	0	465.516	182.644
27.93	4	1	3.484	182.859
51.1	6	0	71.425	186.091
463.3	9	0	218.831	192.595
249.8	8	0	303.747	194.145
75.34	6	0	449.332	184.503
34.86	4	0	420.435	184.238
23.38	3	0	197.002	184.965
296.2	8	0	243.47	192.022
23.82	4	0	279.634	183.759
320.2	7	0	345.789	194.74
4.98	4	0	164.663	183.955
384.1	9	0	283.782	196.439
86.82	7	0	413.705	188.816
89.2	5	0	13.013	189.501
91.37	6	0	115.274	187.968
100.0	7	0	462.39	188.525
2.382	4	0	103.909	184.07
486.9	8	0	183.995	193.43
39.4	6	0	472.288	187.471
25.98	5	0	106.615	186.611
3.248	5	0	103.867	185.445
96.13	7	0	423.15	191.132
100.0	6	1	4.608	190.695
240.8	8	0	125.939	195.91
6.062	4	0	167.393	186.814
35.94	5	0	148.613	190.805
63.87	4	0	431.43	190.389
10.18	4	0	444.575	188.517
1492.0	17	0	74.48	209.252
7.794	5	0	102.653	189.058
6.062	3	0	233.429	188.268
89.85	7	0	452.69	191.996
266.7	7	0	267.722	199.159
50.23	5	0	476.677	193.519
65.17	6	0	108.339	193.552
56.72	5	0	323.247	193.618
16.89	4	1	498.926	193.496
6.495	3	0	23.325	191.233
129.5	5	0	65.117	196.441
44.17	5	0	153.849	193.453
1.732	3	0	314.313	190.959
64.3	6	0	441.506	194.029
67.12	7	0	469.757	195.294
